"priority_rank","tier","company","domain","website","california_presence","segment","prospect_motion","icp_fit_score","why_synor_fit","personalized_outreach_angle","suggested_buyer_title","apollo_first_name","apollo_last_name_masked","apollo_contact_title","apollo_person_id","apollo_email_status","apollo_data_note","source_checked","risks_or_notes"
"1","A","Marqo","marqo.ai","https://www.marqo.ai/","San Francisco HQ verified on company site; matched Apollo California search","AI commerce search and product discovery","Customer / design partner","96","Continuously changing product catalogs require repeatable ingestion, embeddings, updates, and deletion cleanup across search infrastructure.","Lead with a compact demo that syncs a changing commerce catalog into a vector/search target and automatically removes stale products.","Co-Founder & CTO; VP Engineering","Jesse","Cl***k","Co-Founder & CTO","5e7fc98a5ed3250001a8e646","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.marqo.ai/about","Strongest direct prospect; confirm whether their ingestion layer is built internally before pitching."
"2","A","Giga","giga.ai","https://giga.ai/","Matched Apollo California search; exact office should be verified before outreach","Enterprise AI agents for customer support","Customer / design partner","95","Production support agents depend on frequently changing policies, knowledge, workflows, and tool context where stale records create trust and compliance risk.","Open with Synor's observe-own-reconcile model for keeping agent knowledge and policies synchronized with deterministic cleanup.","Co-Founder & CTO; VP Engineering","Esha","Di***e","Co-Founder & CTO","698c4ebb455331000100fde3","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://giga.ai/","Fast-growing and high-value; likely sophisticated internal infrastructure, so lead with a narrow benchmark or design-partner offer."
"3","A","Qualified Health","qualifiedhealthai.com","https://qualifiedhealthai.com/","Matched Apollo California search; exact office should be verified before outreach","Healthcare AI platform","Customer / design partner","95","Healthcare AI needs controlled ingestion, provenance, atomic reconciliation, and reliable removal of obsolete clinical or operational knowledge.","Pitch a pilot for auditable incremental synchronization from enterprise content and databases into an AI-ready store without full rebuilds.","Co-Founder & Chief AI Officer; Head of Engineering","Beau","No***t","Co-Founder & Chief AI Officer","67810582ff223c000197b4c5","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://qualifiedhealthai.com/","Regulated buyer; emphasize reliability, ownership, deletion semantics, and deployment control rather than generic ETL."
"4","A","Zest AI","zest.ai","https://www.zest.ai/","Burbank HQ verified on company site; matched Apollo California search","AI lending and fraud decisioning","Customer / design partner","94","Regulated lending models and intelligence products combine changing datasets, documents, derived artifacts, and strict lineage requirements.","Lead with deterministic state reconciliation for governed model inputs and lending knowledge, including removal of superseded artifacts.","Chief Technology Officer; VP Engineering","Sean","Ka***r","Chief Technology Officer","679e4fb804746c0001757656","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.zest.ai/company/about-us/","Good enterprise fit; expect security and compliance review, so offer an architecture discussion before a broad product demo."
"5","A","eGain","egain.com","https://www.egain.com/","Sunnyvale HQ verified in company materials; matched Apollo California search","AI knowledge management for customer service","Customer / integration partner","94","Its core product manages high-volume enterprise knowledge that must stay current across repositories, search, assistants, and downstream channels.","Frame Synor as an incremental connector and reconciliation layer that can reduce custom synchronization work across knowledge sources and AI targets.","VP Engineering; AI Knowledge Product Architect","Himanshu","Gu***a","VP Engineering","6702c1786c5b7d00017f0691","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.egain.com/; https://www.egain.com/company/careers/ai-knowledge-product-architect/","Potential overlap with internal platform capabilities; position as infrastructure or connector acceleration, not a replacement for their knowledge product."
"6","A","AITOMATIC","aitomatic.com","https://www.aitomatic.com/","Palo Alto address verified on company site; matched Apollo California search","Industrial and neurosymbolic AI","Customer / design partner","93","Industrial AI must continuously translate changing operational data and expert knowledge into governed downstream AI artifacts.","Offer a proof of concept that reconciles source changes into a versioned industrial knowledge or model-serving target with automatic cleanup.","Co-Founder & CEO; CTO; Head of AI","Christopher","Ng***n","Co-Founder & CEO","687872a14876f10001f7c13c","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.aitomatic.com/about","CEO contact is appropriate at this size, but technical validation may move to the platform or AI engineering lead."
"7","A","LanceDB","lancedb.com","https://www.lancedb.com/","San Francisco HQ supported by company profile; matched Apollo California search","Multimodal lakehouse and vector database","Strategic integration / design partner","93","LanceDB is a natural Synor target for incremental multimodal pipelines, and the repository already has a LanceDB connector surface.","Approach with a co-maintained integration story: reliable source-to-LanceDB reconciliation, deletion handling, and a joint example for multimodal AI apps.","Co-Founder & CTO","Lei","Xu","Co-Founder & CTO","66f3d7614cbe70000108e2ec","Unknown; Apollo enrichment required","Apollo returned the full short surname but did not expose an email. Use the person ID for enrichment.","Apollo company and people search 2026-07-29; https://www.lancedb.com/","Treat as ecosystem outreach rather than a standard software sale."
"8","A","LangChain","langchain.com","https://www.langchain.com/","San Francisco HQ verified on company site; matched Apollo California search","Agent engineering platform","Strategic integration / design partner","92","Agent applications need a dependable layer for observing source changes and reconciling derived knowledge, indexes, and external state.","Lead with an integration example where Synor owns incremental knowledge ingestion while LangChain owns agent orchestration and evaluation.","Co-Founder & CTO; Head of Applied AI","Ankush","Go***a","Co-Founder & CTO","66f2987b4d7e630001add5bd","Unknown; Apollo enrichment required","Apollo search masks the surname and did not expose an email. Use the person ID for an enrichment step before sending.","Apollo company and people search 2026-07-29; https://www.langchain.com/about","High-value ecosystem target but unlikely to buy a generic pipeline tool; use partnership and developer-experience language."
"9","A","LlamaIndex","llamaindex.ai","https://www.llamaindex.ai/","San Francisco HQ supported by company profile; matched Apollo California search","Data framework for agents and document intelligence","Strategic integration / design partner","92","Its users need production ingestion that handles updates and deletions across documents, databases, embeddings, and retrieval targets.","Propose a reference integration that makes LlamaIndex retrieval pipelines incremental and cleanup-safe using Synor component ownership.","Head of Engineering; Co-Founder & CEO","George","He","Head of Engineering & Legal","66f8690b1fb6a70001eae5fe","Unknown; Apollo enrichment required","Apollo returned the full short surname but did not expose an email. Use the person ID for enrichment.","Apollo company and people search 2026-07-29; https://www.llamaindex.ai/","Lead as complementary infrastructure, not as a competing data framework."
"10","A","Scry AI","scryai.com","https://scryai.com/","Matched Apollo California search; exact office should be verified before outreach","Enterprise AI and document intelligence","Customer / design partner","91","Document intelligence workloads repeatedly transform changing files into structured records, embeddings, and downstream applications.","Show a document pipeline that only recomputes affected components and deletes orphaned target records when source files disappear.","CTO; VP Engineering; Head of AI","","","","","Not searched to a named result","Apollo company search qualified the account, but the people search did not produce a retained named technical buyer. Run a targeted people search before outreach.","Apollo company search 2026-07-29; https://scryai.com/","Do not send to a generic inbox until a named technical owner is identified."
